Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
Acero inoxibale 316L,Metales,28.00,7990.00,187.00,290.00,558.00,50.00,185.00,195.00,1671.15,scielo Matweb. Quiminet,2020-2
Acero Inóxidable 304,Metales,26.00,8000.00,193.00,215.00,505.00,70.00,129.00,174.00,1420.15,Matweb. Azo. Costo,Alejandro Castellanos Vargas
Acero inoxidable recocido ASIS 321 ,Metales,0.70,8000.00,197.00,240.00,620.00,45.00,80.00,189.00,1688,Matweb,Pablo Galvis
Aleación de Niquel Molybdenum,Metales,12.40,8130.00,195.00,300.00,690.00,40.00,170.50,143.00,1400,MatWeb. Costos,NIxon David Moreno
M2 Molybdenum High Speed Steel,Metales,1.35,8160.00,200.00,325.00,2560.00,20.00,300.00,123.00,1500,Researchgate . Matweb . Azom . Alibaba,Diego Rojas
ASTM A753 grade K94840,Metales,32.00,8180.00,166.00,159.00,518.00,40.00,154.00,186.00,1700.15,Mathmatch. Costos,Nixon David Moreno
UNS C46400,Metales,7.82,8200.00,100.00,200.00,450.00,30.00,167.00,43.00,1163.00,http://www.matweb.com/. Propiedades,2020-2
UNS C33500,Metales,6.00,8300.00,110.00,160.00,380.00,17.00,150.00,50.00,1173.00,http://www.matweb.com/. Propiedades,2020-2
UNS C63000,Metales,9.44,8300.00,120.00,360.00,720.00,13.00,160.00,100.00,1413.00,http://www.matweb.com/. Propiedades,2020-2
Bronce,Metales,11.50,8380.00,112.00,314.00,490.00,22.50,168.00,90.00,1283.15,MatWeb. Alibaba,2020-2
UNS C28000 Brass Alloy,Metales,4.80,8390.00,110.00,140.00,360.00,52.00,578.00,65.00,480.85,Azom. Matweb. Alibaba,2020-2
Latón,Metales,10.47,8490.00,106.00,255.00,430.00,32.00,363.00,80.00,1190.15,MatWeb. Alibaba,2020-2
Copper-Cobalt-Beryllium Alloy UNS 17500,Metales,36.50,8750.00,127.50,620.00,757.50,15.00,219.00,33.00,1343.15,Matweb. Alibaba,2020-2
Cobalto. Co,Metales,48.50,8802.00,211.00,156.00,255.00,7.80,125.00,67.00,3200,Matweb. Precio ,Jonathan Acevedo
UNS C21000,Metales,10.00,8860.00,115.00,69.00,235.00,45.00,172.00,68.00,1323.00,http://www.matweb.com/. Propiedades,2020-2
Niquel,Metales,18.70,8880.00,207.00,59.00,45.00,30.00,80.00,125.00,1728.15,Azom. Matweb. Precio ,Daisy Gutiérrez
UNS C10100,Metales,9.00,8915.00,115.00,217.00,338.00,55.00,82.50,43.00,1353.00,http://www.matweb.com/. Propiedades. Precio,2020-2
Cobre  Annealed,Metales,6.40,8930.00,110.00,46.00,140.00,60.00,153.00,35.00,1356.15,scielo Matweb. Quiminet,2020-2
Cobre-Cold-Worked,Metales,5.44,8960.00,110.00,46.00,140.00,60.00,100.00,40.00,1356.15,scielo Matweb. Quiminet,2020-2
Superaleación a base de cobalto. MAR-M 302. fundido,Metales,70.80,9200.00,222.50,690.00,932.50,2.00,400.00,135.00,1608,Ces Edupack 2019,ivan gongora 
Molibdeno ASTM B386 R03600 (Metal refractario),Metales,630.00,10280.00,320.00,620.00,690.00,12.00,220.00,100.00,2896.15,Matmatch. Costos. Goodfellow,Laura Moreno
Plata. Ag,Metales,707.23,10491.00,76.00,8.27,140.00,25.00,25.00,57.00,2435,Matweb. Precio ,Jonathan Acevedo
Paladio recocido,Metales,77.60,11000.00,110.00,102.00,180.00,2.00,37.00,89.00,1826.5,MatWeb. Costos,Nixon David Moreno
Paladio Pd,Metales,676.00,12000.00,117.00,100.00,180.00,2.00,37.00,67.00,1550,Matweb. Precio ,Nikolai Fandiño
